"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"PAI"	""	""	""	""	""	""	""	""
"S"	"1"	"Ujian Sekolah"	""	""	""	""	""	""	""	""
"Q"	"1"	"Allah telah memerintahkan umat Islam untuk menjauhi tiga perkara buruk yang diisayaratkan dalam firman Allah Q.S. al Hujurat/49: 12. yang berbunyi; َوََل ْ َج َّس ُسوا َو ََل تَ ٞۖ م ۡ ِث إ َّظ نِ َّن بَۡع َض ٱل ِ إ َّظ نِ َكثِيٗرا ِ م َن ٱل ْ ٱ ۡجتَنِبُوا ْ َمنُوا ِذي َن َءا َّ َها ٱل ُّ ي َ أ َٰٓ ۡغ يَ تَب بَّۡع ُض ُكم يَ ۚ بَۡع ًضا ..... Berdasarkan potongan ayat tersebut, perkara buruknya adalah .....&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"Berbuat ghibah (membicakan orang lain), berprasangka buruk pada saudara seiman dan berprasangka baik pada teman"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Bersuudzon kepada pada saudara seiman, mencari-cari kesalahan orang lain untuk dijatuhkan reputasinya dan berghibah (membicarakan orang lain)"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Mencuri dengan mengambil hak orang lain, mencari-cari kesalahan orang lain dan senang menggosipkan orang lain"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Membunuh sebagai bentuk mengambil hak hidup orang lain, merusak ketenangan sesama umat beragama dan menggunjing"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Mempublikasikan berita tidak benar, menghalalkan segala cara untuk meraih kemenangan dan popularitas"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Di era teknologi saat ini, kita semakin mudah untuk mendapatkan berbagai informasi. Mulai dari informasi yang sangat kita butuhkan, hingga informasi yang sama sekali tidak kita butuhkan. Misalnya saja kehidupan privasi para artis di Indonesia. Baik di televisi, radio, surat kabar bahkan dengan mudahnya kita mendapatkan informasi dari berbagai media sosial. Beradasarkan narasi tersebut, sikap yang paling tepat untuk mengimplementasikan Q.S. al-Hujurat ayat 12 dalam kehidupan sehari-hari adalah ....&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"menyadarkan para artis dengan memberi komentar yang tegas"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"mengikuti gaya hidup artis dengan cara berlebihan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"berusaha agar tidak ketinggalan informasi tentang kabar artis terkini"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"berhati-hati sebelum menirukan artis yang diidolakan"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"mencari-cari kesalahan artis yang tidak disenangi."	""	"0"	"5"	""	""	""	""	""
