"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"Bahasa Indonesia"	""	""	""	""	""	""	""	""
"S"	"1"	"Ujian Sekolah"	""	""	""	""	""	""	""	""
"Q"	"1"	"Tidur merupakan kebutuhan manusia. Saat tidur, seluruh anggota tubuh beristirahat. Mengistirahatkan tubuh dari berbagai macam aktivitas idealnya memerlukan waktu  sebanyak delapan jam. Tidur yang baik dilakukan pada pukul 21.00-22.00. Keesokan harinya, kita juga sebaiknya bangun tidur pada pagi hari sekitar pukul 03.00. Kebiasaan tidur secara teratur dapat menyehatkan dan menyegarkan badan. Hal itu disebabkan saat malam kita segera mengistirahatkan tubuh dan saat bangun pagi kita dapat menghirup udara segar dan bersih yang baik untuk pernapasan.
Makna kata aktivitas dalam paragraf tersebut adalah . . . .&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"rutinitas yang dilakukan secara terus-menerus setiap waktu"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"mudah beraksi dan bereaksi"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"giat melaksanakan tugas"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"kegiatan yang dilakukan"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"kegiatan yang ditinggalkan"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah teks anekdot berikut dengan saksama. (1) Seorang laki-laki masuk bank dan berkata ia ingin pinjam $200 selama enam bulan. (2) Ia menjaminkan Rolls Royce miliknya dan meminta bank menahan mobilnya itu sampai utangnya lunas. (3) Enam bulan kemudian orang itu kembali ke bank membayar $200 ditambah $10 bunga dan mengambil kembali Roll –nya. (4) Petugas pinjaman bertanya kepadanya mengapa orang yang mengendarai Roll Royce perlu pinjaman $200 lalu jawabnya, &quot;Saya harus ke Eropa selama enam bulan dan di mana lagi saya dapat menitipkan Rolls selama itu hanya $10?&quot; (5) Si petugas melongo dan sejurus kemudian tertawa mengakui kecerdikan si pemilik Roll Royce. Orientasi pada teks tersebut adalah kalimat pada nomor ...&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"(1)"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"(2)"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"(3)"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"(4)"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"(5)"	""	"0"	"5"	""	""	""	""	""
