"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"Pemrograman Web dan Perangkat Bergerak XI"	""	""	""	""	""	""	""	""
"S"	"1"	"Ujian Akhir Semester"	""	""	""	""	""	""	""	""
"Q"	"1"	"Dalam pemrograman web, kita mengenal istilah Client-side dan Server-side Scripting. Apakah yang dimaksud Server-side Scripting tersebut...&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"bahasa pemrograman web yang pengolahan datanya dilakukan oleh komputer server"	""	"#REF!"	"1"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman web yang pengolahan datanya dilakukan oleh komputer pengguna / pengunjung"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman yang bisa dimodifikasi oleh pengguna"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman tingkat rendah yang digunakan untuk mesin"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman yang hanya bisa dilihat oleh client"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Untuk membuat komentar di PHP menggunakan tanda ...&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"//"	""	"#REF!"	"1"	""	""	""	""	""
"A"	"1"	"#"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"%..%"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"$"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"&"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa fungsi dari $_POST ...&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Untuk mengumpulkan data formulir dan tidak terlihat oleh orang lain"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Untuk mengumpulkan data formulir yang dapat terlihat oleh orang lain"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Untuk mengumpulkan data dari database"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Untuk mengisi data pada formulir"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Semua salah"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bagian yang tidak akan dieksekusi oleh computer dan biasanya digunakan untuk keterangan,penjelasan, dan dokumentasi kode program...&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"Variabel"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Komentar"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Statement"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Konstanta"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Kondisi"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Berikut merupakan bahasa pemrograman yang termasuk Client Side Scripting, kecuali...&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"HTML"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"JAVA SCRIPT"	""	"0"	"2"	""	""	""	""	""
